TEAMID,SEASON,SCHOOL,PLAYERID,FIRST,LAST,POS,G,RATT,RNET,RTD,PATT,PCMP,PYDS,PTD,PINT,Rec,RecYDS,RecTD,FGM,FGA,1PM,1PA
9847,2008,Air Force,NEWT0107AIFO,Todd,Newell,FB,13,142,594,4,,,,,,2,12,0,,,,
9847,2008,Air Force,CLAA0108AIFO,Asher,Clark,RB,11,132,588,5,1,0,0,0,0,,,,,,,
9847,2008,Air Force,LUMK0108AIFO,Kyle,Lumpkin,RB,13,119,452,1,,,,,,2,11,1,,,,
9847,2008,Air Force,JEFT0108AIFO,Tim,Jefferson,QB,10,101,387,3,80,44,655,5,3,,,,,,,
9847,2008,Air Force,STES0107AIFO,Savier,Stephens,RB,8,67,236,2,,,,,,,,,,,,
9847,2008,Air Force,SMIS0106AIFO,Shea,Smith,QB,8,60,229,6,57,30,413,4,3,,,,,,,
9847,2008,Air Force,TEWJ0108AIFO,Jared,Tew,FB,10,50,328,4,,,,,,,,,,,,
9847,2008,Air Force,HALK0108AIFO,Kyle,Halderman,WR,13,36,350,1,,,,,,12,266,3,,,,
9847,2008,Air Force,PAFT0105AIFO,Ty,Paffett,WR,9,19,73,0,,,,,,6,112,0,,,,
9847,2008,Air Force,WARJ0108AIFO,Jonathan,Warzeka,RB,12,9,42,1,,,,,,,,,,,,
9847,2008,Air Force,HYDL0108AIFO,Luke,Hyder,S,13,7,38,0,,,,,,,,,,,,
9847,2008,Air Force,SOUR0108AIFO,Ryan,Southworth,RB,11,7,40,0,,,,,,,,,,,,
9847,2008,Air Force,ARMS0106AIFO,Spencer,Armstrong,WR,4,6,99,0,,,,,,4,74,0,,,,
9847,2008,Air Force,REMR0107AIFO,Reggie,Rembert,CB,13,5,30,0,,,,,,,,,,,,
9847,2008,Air Force,COUJ0108AIFO,Josh,Cousins,WR,13,1,-10,0,,,,,,16,176,2,,,,
9847,2008,Air Force,HARR0107AIFO,Ryan,Harrison,K\P,13,1,-10,0,,,,,,,,,24,29,36,36
9847,2008,Air Force,HERE0108AIFO,Eric,Herbort,QB,1,1,11,0,,,,,,,,,,,,
9847,2008,Air Force,WILC0108AIFO,Chase,Wilke,RB,1,1,8,0,,,,,,,,,,,,
9847,2008,Air Force,DEKT0106AIFO,Travis,Dekker,TE,9,,,,,,,,,13,129,2,,,,
9847,2008,Air Force,FOGK0108AIFO,Kevin,Fogler,WR,9,,,,,,,,,11,214,0,,,,
9847,2008,Air Force,MADK0106AIFO,Keith,Madsen,TE,12,,,,,,,,,4,28,1,,,,
9847,2008,Air Force,QUIS0107AIFO,Sean,Quintana,WR,13,,,,,,,,,3,39,0,,,,
9847,2008,Air Force,ROBJ0108AIFO,Jaquon,Robinson,WR,3,,,,,,,,,1,7,0,,,,
