CONFID,CONF ABBR,CONF NAME
1,IND,Independent
2,AEC,America East Conference
6,A-10,Atlantic 10 Conference
7,ACC,Atlantic Coast Conference
8,A-SUN,Atlantic Sun Conference
9,BIG EAST,Big East Conference
13,BIG SKY,Big Sky Conference
14,BIG SOUTH,Big South Conference
15,BIG 10,Big Ten Conference
16,BIG 12,Big Twelve Conference
17,BIG WEST,Big West Conference
19,CAA,Colonial Athletic Association
20,CUSA,Conference USA
29,GWC,Great West Conference
31,HORIZON,Horizon League
32,IVY,Ivy League
33,MAAC,Metro Atlantic Athletic Conference
37,MAC,Mid-American Conference
42,MEAC,Mid-Eastern Athletic Conference
45,MVC,Missouri Valley Conference
46,MWC,Mountain West Conference
49,NEC,Northeast Conference
51,OVC,Ohio Valley Conference
55,PAC 10,Pacific Ten Conference
56,PAC 12,Pacific Twelve Conference
57,PATRIOT,Patriot League
59,SEC,Southeastern Conference
60,SOUTHERN,Southern Conference
61,SOUTHLAND,Southland Conference
62,SWAC,Southwest Athletic Conference
64,SUMMIT,Summit League
65,SUN BELT,Sun Belt Conference
66,WCC,West Coast Conference
67,WAC,Western Athletic Conference
