code,name,year,r/p,team,lg,no,g,gs,pos,pog,pogs,opp,game,date,pa,pc,gpy,ptd,pi,sack,sackyd,plng,rate,ra,ry,rtd,rlg,,ca,cy,ctd,clg,,rtd,ctd,otd,td,xpm,xpa,2xp,fgm,fga,saf,pts,,kor,kry,krtd,klg,,pr,fc,pry,prtd,prlg,,kpr,kpry,kprtd,,int,iry,irtd,irlg,,cma,cmy,,sack,,pt,ptyds,ptavg,ptlg,blk,,fum,rec,fmyds,fmtds
mannp003,"Manning, Peyton",1998,REG,Ind,AFC,18,16,16,QB,,,,,,575,326,3739,26,28,22,109,78,71.2,15,62,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,15,62,,,,,,,,,,3,0,0,0
mannp003,"Manning, Peyton",1999,REG,Ind,AFC,18,16,16,QB,1,1,,,,533,331,4135,26,15,14,116,80,90.7,35,73,2,13,,,,,,,2,0,0,2,,,,,,,12,,,,,,,,,,,,,0,0,0,,,,,,,37,68,,,,,,,,,,6,2,-5,0
mannp003,"Manning, Peyton",2000,REG,Ind,AFC,18,16,16,QB,1,1,,,,571,357,4413,33,15,20,131,78,94.7,37,116,1,14,,,,,,,1,0,0,1,,,,,,,6,,,,,,,,,,,,,0,0,0,,,,,,,38,113,,,,,,,,,,5,1,-3,0
mannp003,"Manning, Peyton",2001,REG,Ind,AFC,18,16,16,QB,,,,,,547,343,4131,26,23,29,232,86,84.1,35,157,4,33,,,,,,,4,0,0,4,,,,,,,24,,,,,,,,,,,,,0,0,0,,,,,,,38,155,,,,,,,,,,7,3,-2,0
mannp003,"Manning, Peyton",2002,REG,Ind,AFC,18,16,16,QB,1,1,,,,591,392,4200,27,19,23,145,69,88.8,38,148,2,13,,,,,,,2,0,0,2,,,,,,,12,,,,,,,,,,,,,0,0,0,,,,,,,40,147,,,,,,,,,,6,2,-1,0
mannp003,"Manning, Peyton",2003,REG,Ind,AFC,18,16,16,QB,3,3,,,,566,379,4267,29,10,18,107,79,99.0,28,26,0,10,,1,-2,0,-2,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,,,,,,,33,15,,,,,,,,,,6,4,-9,0
mannp003,"Manning, Peyton",2004,REG,Ind,AFC,18,16,16,QB,2,2,,,,497,336,4557,49,10,13,101,80,121.1,25,38,0,19,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,,,,,,,28,35,,,,,,,,,,5,3,-3,0
mannp003,"Manning, Peyton",2005,REG,Ind,AFC,18,16,16,QB,1,1,,,,453,305,3747,28,10,17,81,80,104.1,33,45,0,12,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,,,,,,,33,44,,,,,,,,,,5,0,-1,0
mannp003,"Manning, Peyton",2006,REG,Ind,AFC,18,16,16,QB,4,4,,,,557,362,4397,31,9,14,86,68,101.0,23,36,4,12,,,,,,,4,0,0,4,,,,,,,24,,,,,,,,,,,,,0,0,0,,,,,,,23,36,,,,,,,,,,2,0,0,0
mannp003,"Manning, Peyton",2007,REG,Ind,AFC,18,16,16,QB,1,1,,,,515,337,4040,31,14,21,124,73,98.0,20,-5,3,4,,,,,,,3,0,0,3,,,,,,,18,,,,,,,,,,,,,0,0,0,,,,,,,23,-5,,,,,,,,,,6,3,0,0
mannp003,"Manning, Peyton",2008,REG,Ind,AFC,18,16,16,QB,1,1,,,,555,371,4002,27,12,14,86,75,95.0,20,21,1,12,,,,,,,1,0,0,1,,,,,,,6,,,,,,,,,,,,,0,0,0,,,,,,,20,21,,,,,,,,,,1,0,0,0
mannp003,"Manning, Peyton",2009,REG,Ind,AFC,18,16,16,QB,3,3,,,,571,393,4500,33,16,10,74,80,99.9,19,-13,0,3,,,,,,,0,0,0,0,,,,,,,0,,,,,,,,,,,,,0,0,0,,,,,,,19,-17,,,,,,,,,,2,0,-4,0
mannp003,"Manning, Peyton",2010,REG,Ind,AFC,18,16,16,QB,1,1,,,,679,450,4700,33,17,16,91,73,91.9,18,18,0,27,,,,,,,0,0,0,0,,,,,,,0,,,,,,,,,,,,,0,0,0,,,,,,,19,16,,,,,,,,,,3,1,-2,0
mannp003,"Manning, Peyton",career,REG,,,,208,208,,19,19,,,,7210,4682,54828,399,198,231,1483,86,94.9,346,722,17,33,,1,-2,0,-2,,17,0,0,17,,,,,,,102,,,,,,,,,,,,,0,0,0,,,,,,,366,690,,,,,,,,,,57,19,-30,0
