code,year,tm,seq,lg,pos,gp,g,a,pts,pim,+/-,ppg,ppa,shg,sha,gwg,gtg,sog,po-gp,g,a,pts,pim,+/-,ppg,ppa,shg,sha,gwg,sog
gretw001,78-79,Ind,1,WHA,C,8,3,3,6,0,-3,0,,0,,,,17,,,,,,,,,,,,
gretw001,78-79,Edm,2,WHA,C,72,43,61,104,19,23,9,,0,,,,253,13,10,10,20,2,6,,,,,1,
gretw001,79-80,Edm,1,NHL,C,79,51,86,137,21,15,13,,1,,6,4,284,3,2,1,3,0,,0,,0,,0,
gretw001,80-81,Edm,1,NHL,C,80,55,109,164,28,41,15,,4,,3,2,261,9,7,14,21,4,,2,,1,,1,
gretw001,81-82,Edm,1,NHL,C,80,92,120,212,26,81,18,,6,,12,4,369,5,5,7,12,8,,1,,1,,1,
gretw001,82-83,Edm,1,NHL,C,80,71,125,196,59,60,18,,6,,9,1,348,16,12,26,38,4,,2,,3,,3,
gretw001,83-84,Edm,1,NHL,C,74,87,118,205,39,76,20,,12,,11,0,324,19,13,22,35,12,18,2,,0,,3,86
gretw001,84-85,Edm,1,NHL,C,80,73,135,208,52,98,8,,11,,7,2,358,18,17,30,47,4,28,4,,2,,3,67
gretw001,85-86,Edm,1,NHL,C,80,52,163,215,46,71,11,,3,,6,1,350,10,8,11,19,2,0,4,,1,,2,42
gretw001,86-87,Edm,1,NHL,C,79,62,121,183,28,70,13,,7,,4,0,288,21,5,29,34,6,10,2,,0,,0,55
gretw001,87-88,Edm,1,NHL,C,64,40,109,149,24,39,9,40,5,4,3,0,211,19,12,31,43,16,9,5,19,1,0,3,62
gretw001,88-89,LA,1,NHL,C,78,54,114,168,26,15,11,42,5,10,5,2,303,11,5,17,22,0,-4,1,9,1,0,0,42
gretw001,89-90,LA,1,NHL,C,73,40,102,142,42,8,10,30,4,2,4,1,236,7,3,7,10,0,-4,1,1,0,0,0,13
gretw001,90-91,LA,1,NHL,C,78,41,122,163,16,30,8,51,0,1,5,2,212,12,4,11,15,2,0,1,5,0,0,2,26
gretw001,91-92,LA,1,NHL,C,74,31,90,121,34,-12,12,42,2,2,2,1,215,6,2,5,7,2,-3,1,4,0,0,0,11
gretw001,92-93,LA,1,NHL,C,45,16,49,65,6,6,0,24,2,1,1,0,141,24,15,25,40,4,6,4,9,1,2,3,76
gretw001,93-94,LA,1,NHL,C,81,38,92,130,20,-25,14,47,4,3,0,1,233,,,,,,,,,,,,
gretw001,94-95,LA,1,NHL,C,48,11,37,48,6,-20,3,19,0,3,1,0,142,,,,,,,,,,,,
gretw001,95-96,LA,1,NHL,C,62,15,66,81,32,-7,5,32,0,0,2,1,144,,,,,,,,,,,,
gretw001,95-96,StL,2,NHL,C,18,8,13,21,2,-6,1,9,1,0,1,0,51,13,2,14,16,0,2,1,6,0,1,1,25
gretw001,96-97,NYR,1,NHL,C,82,25,72,97,28,12,6,25,0,1,2,1,286,15,10,10,20,2,5,3,5,0,0,2,44
gretw001,97-98,NYR,1,NHL,C,82,23,67,90,28,-11,6,24,0,0,4,2,201,,,,,,,,,,,,
gretw001,98-99,NYR,1,NHL,C,70,9,53,62,14,-23,3,27,0,0,3,1,132,,,,,,,,,,,,
