year,league,tm,conf,div,fin,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,pim,bm,ppg,ppc,sha,pkg,pkc,shf
11-12,NHL,Ana,w,pc,5,,82,34,36,,12,80,3,7,204,231,980,18,45,271,5,51,283,4
11-12,NHL,Bos,e,ne,1,L4,82,49,29,,4,102,9,3,269,202,1101,8,43,250,1,43,260,8
11-12,NHL,Buf,e,ne,3,,82,39,32,,11,89,7,7,218,230,904,18,44,258,7,47,257,5
11-12,NHL,Cal,w,nw,2,,82,37,29,,16,90,3,9,202,226,885,20,46,260,6,42,268,3
11-12,NHL,Car,e,se,5,,82,33,33,,16,82,1,6,213,243,763,12,49,294,4,49,252,12
11-12,NHL,Clm,w,ce,5,,82,29,46,,7,65,4,5,202,262,1037,16,49,317,8,64,274,7
11-12,NHL,Chi,w,ce,4,L4,82,45,26,,11,101,7,7,248,238,848,20,42,277,3,51,233,7
11-12,NHL,Col,w,nw,3,,82,41,35,,6,88,9,2,208,220,902,12,41,223,4,47,277,5
11-12,NHL,Dal,w,pc,4,,82,42,35,,5,89,7,4,211,222,1032,24,33,244,3,52,303,5
11-12,NHL,Det,w,ce,3,L4,82,48,28,,6,102,9,3,248,203,699,24,48,298,11,50,274,2
11-12,NHL,Edm,w,nw,5,,82,32,40,,10,74,5,7,212,239,942,20,54,262,8,52,296,5
11-12,NHL,Fla,e,se,1,L4,82,38,26,,18,94,6,11,203,227,792,30,53,286,6,49,239,4
11-12,NHL,LA,w,pc,3,W4-W3-W2-W1,82,40,27,,15,95,6,9,194,179,923,6,49,289,2,38,293,9
11-12,NHL,Min,w,nw,4,,82,35,36,,11,81,11,9,177,226,994,16,39,258,4,51,285,5
11-12,NHL,Mon,e,ne,5,,82,31,35,,16,78,5,12,212,226,954,20,43,301,8,36,315,10
11-12,NHL,Nas,w,ce,2,L3,82,48,26,,8,104,5,5,237,210,689,12,54,250,4,40,244,5
11-12,NHL,NJ,e,at,4,W4-W3-W2-L1,82,48,28,,6,102,12,4,228,209,944,20,46,267,13,27,259,15
11-12,NHL,NYI,e,at,5,,82,34,37,,11,79,7,4,203,255,763,8,45,243,5,46,236,4
11-12,NHL,NYR,e,at,1,W4-W3-L2,82,51,24,,7,109,4,5,226,187,1059,14,44,280,4,36,260,8
11-12,NHL,Ott,e,ne,2,,82,41,31,,10,92,6,4,249,240,1145,24,49,270,7,57,310,9
11-12,NHL,Phi,e,at,3,W4-L3,82,47,26,,9,103,4,7,264,232,1318,18,66,335,9,58,319,6
11-12,NHL,Pho,w,pc,1,W4-W3-L2,82,42,27,,13,97,6,10,216,204,757,18,34,251,6,36,249,6
11-12,NHL,Pit,e,at,2,,82,51,25,,6,108,9,3,282,221,880,12,57,289,10,33,270,11
11-12,NHL,SJ,w,pc,2,,82,43,29,,10,96,9,5,228,210,785,18,57,270,4,52,225,3
11-12,NHL,StL,w,ce,1,W4-L3,82,49,22,,11,109,4,10,210,165,1062,16,45,270,3,40,282,7
11-12,NHL,TB,e,se,3,,82,38,36,,8,84,3,3,235,281,865,16,41,269,12,59,284,2
11-12,NHL,Tor,e,ne,4,,82,35,37,,10,80,4,5,231,264,824,16,49,267,6,55,242,5
11-12,NHL,Van,w,nw,1,L4,82,51,22,,9,111,8,7,249,198,1049,10,57,288,4,40,286,7
11-12,NHL,Was,e,se,2,L3,82,42,32,,8,92,4,4,222,230,767,16,41,245,10,49,266,3
11-12,NHL,Win,e,se,4,,82,37,35,,10,84,4,4,225,246,905,4,45,251,8,58,292,3
